Product,Fault_Code,Part_Category,Fault_Type
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Display-Lines,DISPLAY + TP,Failure
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Touch Panel-No Reaction,DISPLAY + TP,Failure
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Display-Lines,DISPLAY + TP,Failure
TC53,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Housing-Cosmetic Per Contract,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Missing/Not Original,DISPLAY + TP,Damage
TC52/57 Mufasa,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Mufasa,Housing-Cosmetic Per Contract,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Housing-Cosmetic Per Contract,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Display,DISPLAY + TP,Damage
TC52/57 Lightning,Display-Blank,DISPLAY + TP,Damage
TC52/57 Lightning,Display-Backlight,DISPLAY + TP,Failure
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Display-Blank,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Mufasa,Display-Color Distortion,DISPLAY + TP,Failure
TC52/57 Mufasa,Touch Panel-No Reaction,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Display-Blank,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Lightning,Display-Problem,DISPLAY + TP,Damage
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Housing-Cosmetic Per Contract,DISPLAY + TP,Failure
TC21/26,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Display-Blank,DISPLAY + TP,Failure
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Touch Panel-Incorrect Reaction,DISPLAY + TP,Failure
TC52/57 Mufasa,Cable-Loose,DISPLAY,Failure
TC52/57 Mufasa,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Mufasa,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Mufasa,Display-Blank,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Display,DISPLAY + TP,Damage
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Housing-Cosmetic Per Contract,DISPLAY + TP,Failure
TC52/57 Mufasa,Housing-Cosmetic Per Contract,DISPLAY + TP,Failure
TC52/57 Mufasa,Display-Blank,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Missing/Not Original,DISPLAY + TP,Damage
TC52/57 Mufasa,Housing-Cosmetic Per Contract,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC73/78,Damage-Display Cracked,DISPLAY + TP,Damage
TC52/57 Lightning,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Lightning,Display-Blank,DISPLAY + TP,Failure
TC52/57 Mufasa,Damage-Cracked Touch Panel,DISPLAY + TP,Damage
TC52/57 Mufasa,Cable-Loose,DISPLAY,Failure
TC52/57 Mufasa,Touch Panel-Incorrect Reaction,DISPLAY + TP,Failure
TC52/57 Mufasa,Display-Backlight,DISPLAY + TP,Failure
