PRODUCT_PHR,Fault_Category,Part_Category
TC21/26,DAMAGE,KEY BUTTON
TC52/57 Lightning,COMMUNICATION,CONNECTOR
TC52/57 Lightning,DAMAGE,DISPLAY + TP
TC52/57 Lightning,DAMAGE,SCREEN GUARD
TC52/57 Lightning,DISPLAY,DISPLAY + TP
TC52/57 Lightning,SOFTWARE,MAIN BOARD
TC52/57 Lightning,DISPLAY,MAIN BOARD
TC52/57 Lightning,TOUCH PANEL,DISPLAY + TP
TC52/57 Lightning,BATTERY,CONNECTOR
TC52/57 Lightning,POWER,MAIN BOARD
TC52/57 Lightning,SOFTWARE,CONNECTOR
TC52/57 Lightning,DAMAGE,CONNECTOR
TC52/57 Lightning,SCANNER,SCAN ENGINE ASSEMBLY
TC52/57 Lightning,POWER,CONNECTOR
TC52/57 Lightning,AUDIO,RECEIVER
TC52/57 Lightning,DAMAGE,MAIN BOARD
TC52/57 Lightning,DAMAGE,SCAN ENGINE ASSEMBLY
TC52/57 Lightning,SCANNER,CONNECTOR
TC52/57 Mufasa,DISPLAY,DISPLAY + TP
TC52/57 Mufasa,NFF,SOFTWARE
TC53,DAMAGE,MAIN BOARD
TC53,WEAR & TEAR,BEZEL
TC53,NFF,SOFTWARE
TC53,DAMAGE,DISPLAY + TP
TC53,SCANNER,SCAN ENGINE
TC53,COMMUNICATION,MAIN BOARD
TC53,DAMAGE,KEY BUTTON
TC53,POWER,MINOR COMPONENT
TC52/57 Mufasa,WEAR & TEAR,DISPLAY + TP
TC52/57 Mufasa,WEAR & TEAR,HOUSING
TC52/57 Mufasa,WEAR & TEAR,END CAP
TC52/57 Mufasa,AUDIO,RECEIVER
TC52/57 Mufasa,DAMAGE,DISPLAY + TP
TC52/57 Mufasa,OTHER,END CAP
TC52/57 Mufasa,SOFTWARE,MAIN BOARD
TC52/57 Mufasa,POWER,MAIN BOARD
TC52/57 Mufasa,AUDIO,SPEAKER
TC52/57 Mufasa,DAMAGE,END CAP
TC52/57 Mufasa,OTHER,RECEIVER
TC52/57 Mufasa,DAMAGE,CONNECTOR
TC52/57 Mufasa,SCANNER,CONNECTOR
TC77,SOFTWARE,SOFTWARE
TC77,CABLE,MAIN BOARD
TC77,SOFTWARE,MAIN BOARD
TC77,WEAR & TEAR,KEY BUTTON
L10 Android,POWER,LAN BOARD
L10 Android,POWER,MAIN BOARD
L10 Windows,DAMAGE,HOUSING + TP + DISPLAY
L10 Windows,FF/DCN,MAIN BOARD
L10 Windows,FF/DCN,SENSOR
L10 Windows,WEAR & TEAR,CASE
L10 Windows,DISPLAY,HOUSING + TP + DISPLAY
L10 Windows,OTHER,SENSOR
MC93,DAMAGE,HOUSING
MC93,DAMAGE,KEYPAD
MC93,FF/DCN,LABEL
MC93,SCANNER,FLEX STRIP
MC93,SCANNER,MAIN BOARD
MC93,SCANNER,SCAN ENGINE
MC93,FF/DCN,HOLDER
MC93,POWER,CONNECTOR
MC93,KEYBOARD,KEYPAD
MC93,SOFTWARE,MAIN BOARD
TC52 Aslan,DAMAGE,MINOR COMPONENT
TC52 Aslan,SOFTWARE,SOFTWARE
TC52 Aslan,COMMUNICATION,CONNECTOR
TC52 Aslan,SCANNER,CONNECTOR
TC52/57 Lightning,POWER,POWER BUTTON ASSEMBLY
TC52/57 Lightning,SOFTWARE,SOFTWARE
TC52/57 Lightning,DAMAGE,COVER
TC52/57 Lightning,SCANNER,SCAN ENGINE
TC52/57 Lightning,SOFTWARE,MINOR COMPONENT
TC52/57 Lightning,TRIGGER,MAIN BOARD
TC52/57 Lightning,NFF,SOFTWARE
TC52/57 Lightning,CRADLE,CONNECTOR
TC52/57 Mufasa,DISPLAY,CONNECTOR
TC52/57 Mufasa,CAMERA,CAMERA
TC52/57 Mufasa,DAMAGE,MINOR COMPONENT
TC52/57 Mufasa,CABLE,SCAN ENGINE
TC52/57 Mufasa,SCANNER,SCAN ENGINE
TC52/57 Mufasa,TOUCH PANEL,DISPLAY + TP
TC52/57 Mufasa,COMMUNICATION,ANTENNA
TC53,SOFTWARE,SOFTWARE
TC52/57 Lightning,DAMAGE,ANTENNA
TC52/57 Mufasa,WEAR & TEAR,CONNECTOR
TC52/57 Mufasa,WEAR & TEAR,COVER
TC77,NFF,SOFTWARE
MC93,DAMAGE,SCRAP
MC93,OTHER,SCRAP
TC21/26,AUDIO,SPEAKER
TC21/26,DAMAGE,BEZEL
TC21/26,DAMAGE,HOUSING
TC21/26,DAMAGE,DISPLAY + TP
TC52 Aslan,POWER,CONNECTOR
TC52/57 Lightning,AUDIO,SPEAKER
TC52/57 Lightning,WEAR & TEAR,CONNECTOR
TC52/57 Lightning,DISPLAY,CONNECTOR
TC52/57 Mufasa,SCANNER,MAIN BOARD
TC52/57 Mufasa,SCANNER,SCAN ENGINE ASSEMBLY
TC52/57 Mufasa,TRIGGER,MAIN BOARD
TC52/57 Mufasa,AUDIO,SCAN ENGINE ASSEMBLY
TC52/57 Mufasa,DAMAGE,SCAN ENGINE ASSEMBLY
TC52/57 Mufasa,CAMERA,CAMERA MODULE
TC52/57 Mufasa,CABLE,DISPLAY
TC52/57 Mufasa,SOFTWARE,SCAN ENGINE ASSEMBLY
TC52/57 Mufasa,COMMUNICATION,MAIN BOARD
TC52/57 Mufasa,SENSOR,MAIN BOARD
TC52/57 Mufasa,DAMAGE,MAIN BOARD
TC77,DAMAGE,HOUSING + TP + DISPLAY
TC77,COMMUNICATION,SOFTWARE
TC77,AUDIO,RECEIVER
TC77,SCANNER,CONNECTOR
TC73/78,DAMAGE,DISPLAY + TP
TC73/78,WEAR & TEAR,HOUSING
TC73/78,WEAR & TEAR,BEZEL
L10 Windows,COMMUNICATION,ANTENNA
TC52/57 Lightning,DAMAGE,HOUSING
TC52/57 Lightning,DAMAGE,END CAP
TC52/57 Lightning,LOCKUP,MAIN BOARD
TC52/57 Mufasa,TRIGGER,MINOR COMPONENT
TC52/57 Mufasa,CABLE,MAIN BOARD
TC52/57 Mufasa,AUDIO,MAIN BOARD
TC52/57 Mufasa,SCANNER,MINOR COMPONENT
TC52/57 Mufasa,DISPLAY,MAIN BOARD
TC52/57 Mufasa,TOUCH PANEL,TOUCH PANEL
TC52/57 Mufasa,POWER,CONNECTOR
TC52/57 Mufasa,POWER,MINOR COMPONENT
TC52/57 Mufasa,BATTERY,CONNECTOR
TC52/57 Mufasa,COMMUNICATION,CONNECTOR
TC52/57 Mufasa,DAMAGE,SCRAP
TC52/57 Mufasa,OTHER,SCRAP
TC52/57 Mufasa,TOUCH PANEL,MAIN BOARD
TC52/57 Mufasa,DAMAGE,GRILL
TC52/57 Mufasa,CRADLE,CONNECTOR
TC52/57 Mufasa,CRADLE,MAIN BOARD
TC52/57 Mufasa,LOCKUP,MAIN BOARD
TC52/57 Mufasa,TOUCH PANEL,MINOR COMPONENT
TC52/57 Mufasa,AUDIO,MINOR COMPONENT
TC72,DAMAGE,HOUSING + TP + DISPLAY
TC72,TRIGGER,KEY BUTTON
TC72,SOFTWARE,SOFTWARE
TC72,POWER,FLEX STRIP
TC72,POWER,MAIN BOARD
TC72,COMMUNICATION,MAIN BOARD
TC72,WEAR & TEAR,KEY BUTTON
TC72,SCANNER,HOUSING
TC72,SCANNER,CAMERA
TC72,DAMAGE,KEY BUTTON
RS51,DAMAGE,TRIGGER
RS51,FF/DCN,MINOR COMPONENT
MC93,LOCKUP,MAIN BOARD
MC93,SOFTWARE,SOFTWARE
TC52 Aslan,TOUCH PANEL,CONNECTOR
TC52/57 Lightning,TRIGGER,MINOR COMPONENT
TC52/57 Lightning,CAMERA,MINOR COMPONENT
TC52/57 Lightning,POWER,MINOR COMPONENT
TC53,TRIGGER,KEY BUTTON
TC53,POWER,MAIN BOARD
TC53,SOFTWARE,MAIN BOARD
TC52/57 Lightning,COMMUNICATION,MAIN BOARD
TC52/57 Lightning,,MAIN BOARD
TC52/57 Mufasa,SENSOR,MINOR COMPONENT
TC77,DAMAGE,KEY BUTTON
TC77,POWER,MAIN BOARD
TC77,SCANNER,SCAN ENGINE
TC77,COMMUNICATION,MAIN BOARD
TC77,SENSOR,MAIN BOARD
RS51,DAMAGE,MINOR COMPONENT
RS51,TRIGGER,TRIGGER
MC93,DAMAGE,DISPLAY + TP
MC93,DAMAGE,COVER
TC21/26,SCANNER,FLEX STRIP
TC21/26,SCANNER,SCAN ENGINE
TC21/26,NFF,SOFTWARE
TC52 Aslan,TOUCH PANEL,DISPLAY + TP
TC52/57 Lightning,FF/DCN,SOFTWARE
TC52/57 Lightning,SENSOR,MINOR COMPONENT
TC52/57 Mufasa,CAMERA,MAIN BOARD
TC52/57 Mufasa,POWER,ANTENNA
TC72,NFF,SOFTWARE
TC72,DAMAGE,HOUSING
TC77,TRIGGER,KEY BUTTON
TC77,AUDIO,SPEAKER
TC77,DAMAGE,MAIN BOARD
VC83,SOFTWARE,SOFTWARE
MC93,DAMAGE,TOUCH PANEL
MC93,DAMAGE,BEZEL
MC93,DAMAGE,SPEAKER
MC93,DAMAGE,FRAME
MC93,DAMAGE,TRIGGER BOARD
TC21/26,OTHER,BEZEL
TC21/26,OTHER,FLEX STRIP
TC21/26,OTHER,RECEIVER
TC21/26,DISPLAY,DISPLAY + TP
TC21/26,DISPLAY,MAIN BOARD
TC21/26,DAMAGE,FLEX STRIP
TC21/26,POWER,MAIN BOARD
TC52 Aslan,,MAIN BOARD
TC52 Aslan,DAMAGE,ANTENNA
TC52 Aslan,DAMAGE,END CAP
TC52 Aslan,POWER,MAIN BOARD
TC52 Aslan,SOFTWARE,MAIN BOARD
TC52 Aslan,DISPLAY,DISPLAY + TP
TC52 Aslan,SENSOR,SENSOR
TC52 Aslan,TRIGGER,TRIGGER
TC52/57 Lightning,DAMAGE,SCRAP
TC52/57 Lightning,OTHER,SCRAP
TC52/57 Lightning,COMMUNICATION,ANTENNA
TC52/57 Mufasa,SOFTWARE,SOFTWARE
TC52/57 Lightning,SCANNER,MAIN BOARD
TC52/57 Mufasa,COMMUNICATION,END CAP
TC52/57 Mufasa,TOUCH PANEL,CONNECTOR
TC77,OTHER,IO BOARD
MC93,DAMAGE,CONNECTOR
TC21/26,POWER,FLEX STRIP
TC21/26,OTHER,ADHESIVE
TC21/26,SCANNER,MAIN BOARD
TC72,COMMUNICATION,ANTENNA
TC72,POWER,CAMERA
TC77,DAMAGE,HOUSING
TC77,WEAR & TEAR,DOOR
VC83,DAMAGE,KEYPAD
VC83,WEAR & TEAR,COVER
VC83,WEAR & TEAR,MYLAR
TC21/26,AUDIO,RECEIVER
TC52/57 Mufasa,AUDIO,CONNECTOR
TC52/57 Mufasa,LED,MAIN BOARD
TC52/57 Mufasa,FF/DCN,SOFTWARE
TC52/57 Mufasa,SOFTWARE,CONNECTOR
TC52/57 Mufasa,DISPLAY,MINOR COMPONENT
TC52/57 Mufasa,COMMUNICATION,MINOR COMPONENT
TC58,AUDIO,SPEAKER
TC58,CAMERA,CAMERA
TC58,DAMAGE,DISPLAY + TP
TC58,DAMAGE,BEZEL
TC58,DAMAGE,MAIN BOARD
TC58,DAMAGE,HOUSING
TC58,POWER,MAIN BOARD
TC58,SOFTWARE,SOFTWARE
TC58,CAMERA,HOUSING
TC58,WEAR & TEAR,BEZEL
TC77,DAMAGE,SCRAP
TC77,OTHER,SCRAP
MC93,DISPLAY,DISPLAY
MC93,DISPLAY,MAIN BOARD
MC93,POWER,MAIN BOARD
MC93,SOFTWARE,LABEL
MC93,DAMAGE,FLEX STRIP
MC93,OTHER,FLEX STRIP
MC93,DAMAGE,HOLDER
MC93,DAMAGE,MINOR COMPONENT
MC93,TOUCH PANEL,TOUCH PANEL
MC93,COMMUNICATION,CONNECTOR
MC93,COMMUNICATION,MAIN BOARD
TC52/57 Lightning,CRADLE,MAIN BOARD
TC52/57 Lightning,DAMAGE,EXIT WINDOW
TC52/57 Lightning,SENSOR,MAIN BOARD
TC77,DAMAGE,PLATE
TC77,SCANNER,CAMERA
TC77,TOUCH PANEL,MAIN BOARD
TC53,DAMAGE,BEZEL
TC58,DISPLAY,DISPLAY + TP
TC58,SCANNER,BRACKET
TC58,SCANNER,SCAN ENGINE
TC58,SCANNER,MAIN BOARD
MC93,SCANNER,MINOR COMPONENT
TC52/57 Mufasa,DAMAGE,EXIT WINDOW
TC52/57 Mufasa,DAMAGE,ANTENNA
TC52/57 Lightning,WEAR & TEAR,END CAP
TC52/57 Lightning,WEAR & TEAR,DISPLAY + TP
TC52/57 Lightning,WEAR & TEAR,HOUSING
TC52/57 Lightning,AUDIO,MINOR COMPONENT
TC52/57 Mufasa,DAMAGE,HOUSING
TC77,WEAR & TEAR,HOUSING
TC77,WEAR & TEAR,HOUSING + TP + DISPLAY
ET40/45,OTHER,DISPLAY + TP
ET40/45,SOFTWARE,MAIN BOARD
L10 Android,DAMAGE,CASE
TC21/26,DAMAGE,BRACKET
TC21/26,OTHER,DISPLAY + TP
TC22/27,DAMAGE,DISPLAY + TP
TC22/27,POWER,IO BOARD
TC21/26,OTHER,MAIN BOARD
TC21/26,TRIGGER,HOUSING
TC52/57 Lightning,CAMERA,CAMERA
TC52/57 Lightning,CAMERA,MAIN BOARD
TC52/57 Lightning,DAMAGE,RECEIVER
TC52/57 Mufasa,DAMAGE,RETAINER
TC77,DAMAGE,SHIELD
TC77,DAMAGE,IO BOARD
TC77,DAMAGE,DOOR
TC77,WEAR & TEAR,MINOR COMPONENT
TC77,DAMAGE,MINOR COMPONENT
TC77,TRIGGER,MINOR COMPONENT
TC52 Aslan,SCANNER,SCAN ENGINE ASSEMBLY
TC52 Aslan,SCANNER,MAIN BOARD
TC52/57 Lightning,FF/DCN,MAIN BOARD
TC53,COMMUNICATION,DISPLAY + TP
TC53,LOCKUP,MAIN BOARD
TC53,SENSOR,FLEX STRIP
TC58,DAMAGE,SCRAP
TC58,OTHER,SCRAP
TC58,NFF,SOFTWARE
TC52/57 Lightning,TOUCH PANEL,TOUCH PANEL
TC52/57 Mufasa,LOCKUP,SCAN ENGINE ASSEMBLY
TC52/57 Mufasa,SOFTWARE,CAMERA
MC93,WEAR & TEAR,COVER
MC93,WEAR & TEAR,FRAME
MC93,WEAR & TEAR,TOUCH PANEL
TC21/26,DAMAGE,SCRAP
TC21/26,OTHER,SCRAP
TC53,TRIGGER,MINOR COMPONENT
TC53,DAMAGE,MINOR COMPONENT
TC52/57 Lightning,TOUCH PANEL,CONNECTOR
TC52/57 Mufasa,DAMAGE,CAMERA
TC58,DAMAGE,KEY BUTTON
TC58,SOFTWARE,KEY BUTTON
VC83,ACCESSORIES,END CAP
VC83,BATTERY,BATTERY
TC52/57 Lightning,DAMAGE,MINOR COMPONENT
TC52/57 Mufasa,KEYBOARD,MINOR COMPONENT
TC52/57 Mufasa,LOCKUP,SOFTWARE
TC52/57 Mufasa,LOCKUP,MINOR COMPONENT
TC72,DAMAGE,MAIN BOARD
TC72,DAMAGE,SHIELD
TC77,COMMUNICATION,ANTENNA
TC77,DISPLAY,HOUSING + TP + DISPLAY
L10 Android,SOFTWARE,MAIN BOARD
L10 Android,TOUCH PANEL,HOUSING + TP + DISPLAY
MC93,NFF,SOFTWARE
TC52/57 Mufasa,OTHER,MAIN BOARD
TC53,SOFTWARE,MINOR COMPONENT
TC53,POWER,SCAN ENGINE
TC53,WEAR & TEAR,MINOR COMPONENT
TC52/57 Lightning,CABLE,CAMERA MODULE
TC58,SOFTWARE,MAIN BOARD
VC83,DAMAGE,CABLE
VC83,DAMAGE,COAX CABLE
MC93,SCANNER,SOFTWARE
TC52/57 Mufasa,CAMERA,RUBBER BOOT
TC52/57 Mufasa,DAMAGE,KEY BUTTON
TC72,SOFTWARE,HOUSING + TP + DISPLAY
TC72,SOFTWARE,MAIN BOARD
TC72,DAMAGE,DOOR
TC72,DAMAGE,MINOR COMPONENT
TC52 Aslan,POWER,MINOR COMPONENT
TC52 Aslan,SOFTWARE,MINOR COMPONENT
TC52 Aslan,DAMAGE,DISPLAY + TP
TC52/57 Lightning,BATTERY,MAIN BOARD
TC53,POWER,CONNECTOR
